iter	Passed	Remaining
816	8020	1796
817	8029	1786
818	8038	1776
819	8047	1766
820	8055	1756
821	8064	1746
822	8072	1736
823	8081	1726
824	8089	1716
825	8098	1706
826	8107	1696
827	8116	1686
828	8125	1676
829	8134	1666
830	8143	1656
831	8152	1646
832	8161	1636
833	8171	1626
834	8180	1616
835	8189	1606
836	8198	1596
837	8207	1586
838	8216	1576
839	8226	1566
840	8235	1556
841	8244	1547
842	8253	1537
843	8261	1527
844	8270	1517
845	8279	1507
846	8288	1497
847	8296	1487
848	8305	1477
849	8314	1467
850	8323	1457
851	8332	1447
852	8340	1437
853	8349	1427
854	8358	1417
855	8367	1407
856	8375	1397
857	8384	1387
858	8393	1377
859	8402	1367
860	8411	1357
861	8420	1348
862	8429	1338
863	8438	1328
864	8447	1318
865	8455	1308
866	8464	1298
867	8473	1288
868	8482	1278
869	8492	1269
870	8501	1259
871	8510	1249
872	8519	1239
873	8528	1229
874	8537	1219
875	8545	1209
876	8554	1199
877	8563	1189
878	8571	1179
879	8580	1170
880	8589	1160
881	8598	1150
882	8606	1140
883	8615	1130
884	8625	1120
885	8634	1110
886	8642	1101
887	8651	1091
888	8660	1081
889	8668	1071
890	8677	1061
891	8685	1051
892	8694	1041
893	8703	1031
894	8712	1022
895	8721	1012
896	8730	1002
897	8739	992
898	8768	985
899	8789	976
900	8809	968
901	8829	959
902	8842	949
903	8851	940
904	8860	930
905	8869	920
906	8878	910
907	8886	900
908	8895	890
909	8904	880
910	8914	870
911	8923	861
912	8933	851
913	8943	841
914	8952	831
915	8961	821
916	8970	811
917	8980	802
918	8988	792
919	8998	782
920	9008	772
921	9016	762
922	9025	752
923	9034	743
924	9043	733
925	9053	723
926	9062	713
927	9071	703
928	9080	693
929	9089	684
930	9098	674
931	9107	664
932	9116	654
933	9125	644
934	9134	635
935	9144	625
936	9152	615
937	9161	605
938	9171	595
939	9180	585
940	9190	576
941	9198	566
942	9207	556
943	9217	546
944	9225	536
945	9235	527
946	9244	517
947	9253	507
948	9262	497
949	9271	487
950	9281	478
951	9290	468
952	9299	458
953	9308	448
954	9317	439
955	9326	429
956	9335	419
957	9344	409
958	9353	399
959	9362	390
960	9371	380
961	9380	370
962	9389	360
963	9399	351
964	9408	341
965	9417	331
966	9426	321
967	9435	311
968	9444	302
969	9453	292
970	9462	282
971	9471	272
972	9480	263
973	9488	253
974	9497	243
975	9506	233
976	9515	224
977	9523	214
978	9533	204
979	9542	194
980	9551	184
981	9561	175
982	9570	165
983	9579	155
984	9587	146
985	9596	136
986	9605	126
987	9614	116
988	9623	107
989	9632	97
990	9646	87
991	9659	77
992	9668	68
993	9679	58
994	9689	48
995	9700	38
996	9710	29
997	9719	19
998	9729	9
999	9739	0
